license_id,name,owner,status,status_date,street,city,zip,phone,county,service_type
"1127400","Fadmetrocare Inc","Falade Christopher","Denied","10/09/2025","2882 MIDDLE ST","Little Canada","55117","(612) 599-6396","Ramsey","Home and Community Based Services"
"1112221","1 Busy Bee Care Services","","Active","","7970 BROOKLYN BLVD","Brooklyn Park","55445","(952) 262-9159","Hennepin","Home and Community Based Services"
"1114190","1 on 1 Comprehensive Healthcare Solution LLC","","Active","","14967 95TH PL N","Maple Grove","55369","(763) 299-0025","Hennepin","Home and Community Based Services"
"1094229","1-Dominion Home Health Care Inc","","Active","","7344 SILVER LAKE RD","Mounds View","55112","(763) 352-1684","Ramsey","Home and Community Based Services"
"1112654","1Nation Home Care Inc","","Active","","2021 E HENNEPIN AVE STE 402-5","Minneapolis","55413","(612) 800-2677","Hennepin","Home and Community Based Services"
"1114621","1st Care Inc","","Active","","8609 LYNDALE AVE S STE 218","Bloomington","55420","(612) 564-6299","Hennepin","Home and Community Based Services"
"1110637","1st Choice Care, Inc.","","Active","","9035 BLAISDELL AVE S","Bloomington","55420","(612) 644-0165","Hennepin","Home and Community Based Services"
"1105690","1st Grade Care Inc","","Active","","7800 METRO PKWY STE 300","Bloomington","55425","(952) 217-0897","Hennepin","Home and Community Based Services"
"1086983","1st Lutheran Preschool and Extended Day Program","","Active","","925 13th St E","Glencoe","55336","(320) 864-3317","McLeod","Child Care Center"
"1115442","245D basic services","","Denied","07/30/2025","501 DALE ST N # 205","Saint Paul","55103","(612) 205-6451","Ramsey","Home and Community Based Services"
"1091688","24hrs Home Care LLC","","Suspended","10/10/2025","2719 W DIVISION ST STE 111","Saint Cloud","56301","(612) 876-5503","Stearns","Home and Community Based Services"
"1080082","2nd Home Childcare LLC","","Active","","2600 26th Ave S Ste 300","Minneapolis","55406","(612) 814-1531","Hennepin","Child Care Center"
"1109755","3A's Adult Foster Care","","Active","","3309 W 132ND ST","Burnsville","55337","(651) 431-1892","Dakota","Home and Community Based Services"
"1084187","3H Care LLC","","Active","","2529 NICOLLET AVE STE 203","Minneapolis","55404","(612) 562-8306","Hennepin","Home and Community Based Services"
"1104641","3MB Health Services","","Active","","7447 EGAN DR STE 100","Savage","55378","(612) 298-4872","Scott","Home and Community Based Services"
"810990","3R's Nuway Counseling Center","","Closed","11/25/2025","1404 CENTRAL AVE NE","Minneapolis","55413","(612) 789-8030","Hennepin","Substance Use Disorder Treatment"
"1108608","3Rs Early Childhood Learning Center","","Active","","4900 85th Ave N","Minneapolis","55443","(763) 315-5006","Hennepin","Child Care Center"
"1103859","4 ABC Home Care Services","","Active","","3300 COUNTY ROAD 10 STE 320D","Brooklyn Center","55429","(763) 999-4791","Hennepin","Home and Community Based Services"
"1089383","40th Street Park Rec Plus","","Active","","1900 E 40th St","Minneapolis","55407","(612) 370-4954","Hennepin","Certified Child Care Center"
"1103165","5 Star Adult Day Center Inc","","Conditional","09/10/2025","2966 WHITE BEAR AVE N","Maplewood","55109","(651) 788-7238","Ramsey","Adult Day Care Services"
"1068829","A & E Homes Inc","","Active","","5020 JONAN DR","Hermantown","55811","(218) 348-9650","St. Louis","Home and Community Based Services - Community Residential Setting"
"1073601","A & E Homes Inc","","Active","","405 S Blackman Ave","Duluth","55808","(218) 348-9650","St. Louis","Home and Community Based Services - Community Residential Setting"
"1098004","A & E Homes Inc","","Active","","4825 LONDON RD","Duluth","55804","(218) 525-7676","St. Louis","Home and Community Based Services - Community Residential Setting"
"1110777","A & S Home Health Care LLC","","Active","","1516 E LAKE ST STE 304","Minneapolis","55407","(860) 796-9122","Hennepin","Home and Community Based Services"
"1100706","A and L Health Services","","Active","","13709 WENTWORTH AVE APT 17","Burnsville","55337","(651) 900-5997","Dakota","Home and Community Based Services"
"1124043","A and L Health Services","","Active","","12944 1ST AVE S","Burnsville","55337","(651) 500-4241","Dakota","Home and Community Based Services - Community Residential Setting"
"1113006","A CARING HANDS LLC","","Closed","08/19/2025","13205 SHEFFIELD CT","Burnsville","55337","(612) 750-5968","Dakota","Home and Community Based Services"
"1098623","A Chance To Grow.,","","Active","","1800 2ND ST NE","Minneapolis","55418","(612) 789-1236","Hennepin","Home and Community Based Services"
"800003","A Child's Delight Too, Inc.","","Active","","200 Western Ave NW Ste A2","Faribault","55021","(507) 332-2264","Rice","Child Care Center"
"1096017","A Child's Place Daycare Center","","Conditional","12/02/2024","3738 7th Ave","Anoka","55303","(763) 710-7662","Anoka","Child Care Center"
"1112524","A Encouraging Place","","Active","","6040 EARLE BROWN DR STE 430","Brooklyn Center","55430","(763) 710-4942","Hennepin","Substance Use Disorder Treatment"
"1035644","A Family Journey","","Active","","3445 Girard Ave S","Minneapolis","55408","(612) 501-5436","Hennepin","Child Caring-Placing Agency"
"1114803","A Future Goals Inc","","Active","","14331 EBONY LN","Apple Valley","55124","(952) 220-1967","Dakota","Home and Community Based Services"
"1114596","A Home for the Day LLC","","Active","","1971 PINE CONE RD","Saint Cloud","56303","(320) 260-7396","Stearns","Adult Day Care Services"
"1126886","A Mission for Michael Arcola","","Active","","12178 ARCOLA TRL N","Stillwater","55082","(763) 316-3195","Washington","Residential Facilities for Adults with Mental Illness"
"1126863","A Mission for Michael Dellwood","","Active","","13199 DELLWOOD RD N","Stillwater","55082","(763) 363-4613","Washington","Residential Facilities for Adults with Mental Illness"
"1102531","A New Direction for Youth LLC","","Active","","4144 FOXGLOVE AVE N STE 2","Brooklyn Park","55443","(763) 710-9058","Hennepin","Home and Community Based Services"
"1118652","A New Direction for Youth LLC","","Active","","4144 FOXGLOVE AVE N","Brooklyn Park","55443","(612) 387-9534","Hennepin","Child Foster Residence Setting"
"1111165","A New Direction for Youth Penn","","Active","","5926 PENN AVE S","Minneapolis","55419","(612) 387-9534","Hennepin","Child Foster Residence Setting"
"1093983","A New Direction Inc","","Active","","1140 ELM ST E STE B","Saint Joseph","56374","(320) 420-3423","Stearns","Home and Community Based Services"
"1112619","A New Hope Preschool & ECE Program","","Active","","955 Wildwood Rd","White Bear Lake","55115","(651) 770-6192","Washington","Child Care Center"
"1085470","A Peaceful Home Care","","Active","","1050 46th Ave S","Moorhead","56560","(651) 307-1463","Clay","Home and Community Based Services"
"1115650","A Peaceful Home Care","","Active","","3740 32ND ST S","Moorhead","56560","(651) 307-1463","Clay","Home and Community Based Services - Community Residential Setting"
"1116590","A Peaceful Home Care","","Active","","3826 32ND ST S","Moorhead","56560","(651) 307-1463","Clay","Home and Community Based Services - Community Residential Setting"
"1120317","A Peaceful Home Care","","Active","","3010 41ST AVE S","Moorhead","56560","(651) 307-1463","Clay","Home and Community Based Services - Community Residential Setting"
"1126293","A Peaceful Home Care","","Closed","08/29/2025","402 DUDREY CT","Moorhead","56560","(218) 299-7320","Clay","Home and Community Based Services - Community Residential Setting"
"1128801","A Peaceful Home Care","","Active","","1050 46TH AVE S","Moorhead","56560","(218) 299-7320","Clay","Home and Community Based Services - Community Residential Setting"
"1112694","A Place Called Home","","Active","","6053 HUDSON RD STE 373","Woodbury","55125","(651) 358-3823","Washington","Home and Community Based Services"
"1067300","A Plus Home Care Inc","","Closed","09/17/2025","8400 NORMANDALE LAKE BLVD STE 920","Bloomington","55437","(952) 854-7760","Hennepin","Home and Community Based Services"
"1110710","A Plus Residential Homes LLC","","Active","","2722 PARK AVE # 205","Minneapolis","55407","(612) 295-2181","Hennepin","Home and Community Based Services"
"1097992","A Plus Universal Child Care and Learning Center","","Active","","1208 Shakopee Town Sq","Shakopee","55379","(952) 236-7460","Scott","Child Care Center"
"1106025","A Quality Care Inc","","Active","","7900 EXCELSIOR BLVD STE 2320","Hopkins","55343","(763) 477-2460","Hennepin","Home and Community Based Services"
"1107817","A Stable Place LLC","","Active","","34373 UNITY AVE","Taylors Falls","55084","(651) 253-7253","Chisago","Home and Community Based Services"
"1095335","A Step Ahead Home Health Care","","Active","","2398 HEATH AVE N","Oakdale","55128","(612) 695-5091","Washington","Home and Community Based Services"
"1110241","A Trucare Residential Services LLC","","Active","","14023 VIRGINIA AVE","Savage","55378","(612) 275-7602","Scott","Home and Community Based Services"
"1113285","A&A Homes LLC","","Active","","3203 LAKE ST NW","Rochester","55901","","Olmsted","Home and Community Based Services - Community Residential Setting"
"1113180","A&A RELIABLE HOME HEALTH CARE, LLC","","Active","","1821 UNIVERSITY AVE W STE S295","Saint Paul","55104","(651) 470-9549","Ramsey","Home and Community Based Services"
"1104562","A-Z Access Health Care Inc","","Active","","2700 E LAKE ST STE 201","Minneapolis","55406","(612) 447-7835","Hennepin","Home and Community Based Services"
"1068221","A.B.L.E., Inc","","Active","","516 E Grove","Caledonia","55921","(507) 724-5920","Houston","Home and Community Based Services - Community Residential Setting"
"1068218","A.B.L.E., Inc.","","Active","","1315 Townhall Rd","La Crescent","55947","(507) 895-6533","Houston","Home and Community Based Services - Community Residential Setting"
"1068219","A.b.l.e., Inc.","","Active","","504 N Winnebago","Caledonia","55921","(507) 724-5610","Houston","Home and Community Based Services - Community Residential Setting"
"1115347","A.L. HOME HEALTH CARE LLC","","Active","","6385 OLD SHADY OAK RD STE 250","Eden Prairie","55344","(763) 807-8140","Hennepin","Home and Community Based Services"
"1072660","A.S.I.","","Active","","12455 Magnolia Street NW","Coon Rapids","55448","(763) 757-0075","Anoka","Home and Community Based Services - Community Residential Setting"
"1115341","A.Z.A Services LLC","","Active","","2740 FAIRVIEW AVE N UNIT 311","Roseville","55113","(763) 898-2040","Ramsey","Home and Community Based Services"
"1113695","A1 Splendor Home Care LLC","","Closed","10/29/2025","1958 HELMO AVE N","Oakdale","55128","(651) 307-0836","Washington","Home and Community Based Services"
"1104617","AA Social Services LLC","","Active","","860 STILLWATER RD APT 116","Mahtomedi","55115","(651) 214-5961","Washington","Home and Community Based Services"
"1070702","AAA 210 Foster Home","","Active","","3083 210TH ST","Saint Augusta","55320","(320) 260-8459","Stearns","Home and Community Based Services"
"1067306","AAA Best Care, Inc.","","Active","","2589 HAMLINE AVE N STE B","Saint Paul","55113","(651) 528-8831","Ramsey","Home and Community Based Services"
"1113448","AAA CARE CENTER INC","","Active","","2040 DOUGLAS DR N STE 204","Golden Valley","55422","(651) 410-7777","Hennepin","Home and Community Based Services"
"1107561","Aabbys Home Health Care","","Active","","8206 BLAISDELL AVE S","Bloomington","55420","(678) 665-1070","Hennepin","Home and Community Based Services"
"1112686","AAC Homecare LLC","","Active","","2525 E FRANKLIN AVE STE 220","Minneapolis","55406","(613) 735-9812","Hennepin","Home and Community Based Services"
"1070252","Aafiya HomeCare,LLC","","Active","","3270 19TH ST NW STE 108","Rochester","55901","(507) 292-0111","Olmsted","Home and Community Based Services"
"1114554","Aamin Adult Day Care Center LLC","","Closed","08/26/2025","1201 37TH AVE N STE 101","Minneapolis","55412","(952) 649-0659","Hennepin","Adult Day Care Services"
"1105803","AAMIN HOME CARE LLC","","Active","","320 W LAKE ST # 217","Minneapolis","55408","(952) 649-0659","Hennepin","Home and Community Based Services"
"1080262","Aamot Kelsey N","","Active","","1062 ELIZABETH ST","Hawley","56549","(701) 866-4102","Clay","Family Child Care"
"1034198","Aanestad Barbara J & Aanestad Joyce M","","Active","","6670 Channel Rd","Fridley","55432","(763) 571-0164","Anoka","Family Child Care"
"1098077","Aaran Adult Daycare Inc","","Active","","3424 Wooddale Ave S","St Louis Park","55416","(612) 250-3371","Hennepin","Adult Day Care Services"
"1109865","Aaran Health Care Inc","","Active","","1516 E LAKE ST STE 305","Minneapolis","55407","(206) 779-7778","Hennepin","Home and Community Based Services"
"1095176","Aaran Health Service LLC","","Active","","2147 UNIVERSITY AVE W STE 207","Saint Paul","55114","(952) 261-3930","Ramsey","Home and Community Based Services"
"1107130","AARE HEALTH SYSTEM LLC","","Active","","1821 UNIVERSITY AVE W STE 227","Saint Paul","55104","(612) 298-7897","Ramsey","Home and Community Based Services"
"1112513","Aaria Health LLC","","Active","","3133 BLOOMINGTON AVE UNIT 2","Minneapolis","55407","(310) 903-7810","Hennepin","Home and Community Based Services"
"1104560","AarkosMED Homecare LLC","","Active","","2525 E FRANKLIN AVE STE 220","Minneapolis","55406","(612) 404-6664","Hennepin","Home and Community Based Services"
"1106148","AARON CARE INC","","Active","","4020 MINNEHAHA AVE STE 1065","Minneapolis","55406","(612) 298-7478","Hennepin","Home and Community Based Services"
"1105095","Aaron Child Care Inc.","","Active","","2500 Minnehaha Ave Ste 100","Minneapolis","55404","(612) 886-2557","Hennepin","Child Care Center"
"1074053","Aaron Tammy Deloris","","Active","","Dakota County","","","","License number: 1074053","Child Foster Care"
"1100161","Aarre Nicole K","","Active","","235 S FREMONT ST","Lewiston","55952","(507) 450-3305","Winona","Family Child Care"
"1014454","Aase Kristine M","","Active","","3853 OXFORD DR","Woodbury","55125","(651) 307-4244","Washington","Family Child Care"
"1074924","Aasen Christian Jason & Aasen Hollorie Jeanne","","Active","","Waseca County","","","","License number: 1074924","Child Foster Care"
"1052797","AB Bohlman Inc dba Little Red Wagon","","Active","","901 Main St S","Cambridge","55008","(763) 689-2567","Isanti","Child Care Center"
"1101850","AB.SEE Preschool & Early Learning Center","","Active","","300 Park St W","Cannon Falls","55009","(507) 757-1110","Goodhue","Child Care Center"
"1105777","Aba Home Plus LLC","","Active","","7310 UNITY LN N","Brooklyn Park","55443","(651) 703-7828","Hennepin","Home and Community Based Services"
"1114539","ABBA home health Care LLC","","Active","","1710 DOUGLAS DR N STE 224R","Golden Valley","55422","(763) 436-6726","Hennepin","Home and Community Based Services"
"236206","Abbe Paula A Niles","","Active","","228 1st St Northeast","Blooming Prairie","55917","(507) 583-7130","Steele","Family Child Care"
"1070294","AbbeyCare, Inc.","","Active","","1148 GRAND AVE","Saint Paul","55105","(651) 690-5352","Ramsey","Home and Community Based Services"
"1060731","Abbott Gloria & Abbott Melvin","","Active","","Hennepin County","","","","License number: 1060731","Child Foster Care"
"1111630","Abbrar Care LLC","","Active","","2800 RUSTIC PL APT 225","Little Canada","55117","(952) 451-1343","Ramsey","Home and Community Based Services"
"1112247","ABC Academy","","Active","","160 3rd Ave W","Foley","56329","","Benton","Child Care Center"
"800020","ABC Express","","Active","","6820 Saint Patricks Ln","Edina","55439","(952) 999-0101","Hennepin","Child Care Center"
"1072210","ABC Home Plus Corp","","Closed","12/01/2025","11511 MAGNOLIA ST NW","Coon Rapids","55448","(763) 753-5696","Anoka","Home and Community Based Services"
"1109624","ABC Homecare LLC","","Closed","09/17/2025","750 HILLTOP RD","Mendota Heights","55118","(630) 347-7083","Dakota","Home and Community Based Services"
"1095850","ABC Learning Center Inc","","Active","","2533 24th Ave S","Minneapolis","55406","(612) 432-2452","Hennepin","Child Care Center"
"1069245","ABC Works","","Active","","62 North Third","La Crescent","55947","(507) 895-7161","Houston","Home and Community Based Services - Day Services Facility"
"1069246","ABC Works","","Active","","730 North Pine","Caledonia","55921","(507) 725-2057","Houston","Home and Community Based Services - Day Services Facility"
