"License Number","License Type","Name of Program","AddressLine1","AddressLine2","AddressLine3","City","State","Zip","County","Phone","License Status","License Holder","Capacity","Type Of License","Restrictions","Services","Licensing Authority","Initial Effective Date","Current Effective Date","Expiration Date","License Holder Lives Onsite","EmailAddress",
"1051705","Substance Use Disorder Treatment","Agate Housing & Services Inc","2309 NICOLLET AVE","","","Minneapolis","MN","55404-3315","Hennepin","(612) 594-2029","Closed as of 08/28/2025","Agate Housing & Services Inc","   "," Non-Residential Treatment - ages 18 and older; Gender: Either; Satellite Location(s):","None","Specializing in: the Treatment of Persons with a Substance Use and Mental Health Disorder; Approved Rate Enhancements: Co-occurring Disorders; ","Minnesota Department of Human Services","01/21/2009","01/01/2025","12/31/2025","   ","",
"1072701","Home and Community Based Services","Clare Housing Inc","929 Central Ave NE","","","Minneapolis","MN","55413-2404","Hennepin","(612) 236-9515","Active","Clare Housing, Inc.","   ","Residential Supports and Services: Foster Care services or supported living services; Community residential services; Family residential services    ","None","Satellite License Number: 1073632 (Home and Community Based Services - Community Residential Setting), Damiano House; Satellite License Number: 1072704 (Home and Community Based Services - Community Residential Setting), AGAPE DOS; Satellite License Number: 1072702 (Home and Community Based Services - Community Residential Setting), Grace House II; ","Minnesota Department of Human Services","01/01/2014","01/01/2025","12/31/2025","   ","",
"1067664","Home and Community Based Services - Community Residential Setting","Companion Housing -Russell","6832 Russell Ave S"," "," ","Richfield","MN","55423-2908","Hennepin","(612) 243-1314","Active","Companion Housing Program Inc","3  ","This community residential setting license is a satellite operating under 245D-HCBS Program License Number 1067662; and providing Community Residential Setting: Foster Care services or supported living services  ","None","","Hennepin County Human Services & Public Health Dept","07/01/2014","09/01/2024","08/31/2026","No ","",
"1067665","Home and Community Based Services - Community Residential Setting","Companion Housing Program Inc","4611 BOONE AVE N","","","New Hope","MN","55428-4849","Hennepin","(763) 526-0970","Active","Companion Housing Program Inc","4  ","This community residential setting license is a satellite operating under 245D-HCBS Program License Number 1067662; and providing Community Residential Setting: Foster Care services or supported living services  ","None","","Hennepin County Human Services & Public Health Dept","07/01/2014","04/01/2024","03/31/2026","No ","",
"1067667","Home and Community Based Services - Community Residential Setting","Companion Housing Program Inc","3510 34TH AVE N","","","Robbinsdale","MN","55422-2912","Hennepin","(763) 581-0691","Active","Companion Housing Program Inc","3  ","This community residential setting license is a satellite operating under 245D-HCBS Program License Number 1067662; and providing Community Residential Setting: Foster Care services or supported living services  ","None","","Hennepin County Human Services & Public Health Dept","07/01/2014","04/01/2024","03/31/2026","No ","",
"1067663","Home and Community Based Services - Community Residential Setting","Companion Housing Program Inc","4440 INDEPENDENCE AVE N","","","New Hope","MN","55428-4757","Hennepin","(763) 533-6157","Active","Companion Housing Program Inc","4  ","This community residential setting license is a satellite operating under 245D-HCBS Program License Number 1067662; and providing Community Residential Setting: Foster Care services or supported living services  ","None","","Hennepin County Human Services & Public Health Dept","07/01/2014","04/01/2024","03/31/2026","No ","",
"1067675","Home and Community Based Services - Community Residential Setting","Companion Housing Program Inc","3723 QUEBEC AVE S","","","SAINT LOUIS PARK","MN","55426-4342","Hennepin","(952) 938-0333","Active","Companion Housing Program Inc","4  ","This community residential setting license is a satellite operating under 245D-HCBS Program License Number 1067662; and providing Community Residential Setting: Foster Care services or supported living services  ","None","","Hennepin County Human Services & Public Health Dept","07/01/2014","04/01/2024","03/31/2026","No ","",
"1067676","Home and Community Based Services - Community Residential Setting","Companion Housing Program Inc","1505 Flag Ave N","","","Golden Valley","MN","55427-0000","Hennepin","(763) 544-2176","Active","Companion Housing Program Inc","4  ","This community residential setting license is a satellite operating under 245D-HCBS Program License Number 1067662; and providing Community Residential Setting: Foster Care services or supported living services  ","None","","Hennepin County Human Services & Public Health Dept","07/01/2014","08/01/2024","07/31/2026","No ","",
"1067671","Home and Community Based Services - Community Residential Setting","Companion Housing Program, Inc Colorado","7549 Colorado Ave North","","","Brooklyn Park","MN","55443-0000","Hennepin","(763) 537-6539","Active","Companion Housing Program Inc","4  ","This community residential setting license is a satellite operating under 245D-HCBS Program License Number 1067662; and providing Community Residential Setting: Foster Care services or supported living services  ","None","","Hennepin County Human Services & Public Health Dept","07/01/2014","11/01/2025","10/31/2027","No ","",
"1067666","Home and Community Based Services - Community Residential Setting","Companion Housing Programs Pillsbury","4301 Pillsbury Ave South"," "," ","Minneapolis","MN","55409-1917","Hennepin","(612) 825-2508","Active","Companion Housing Program Inc","4  ","This community residential setting license is a satellite operating under 245D-HCBS Program License Number 1067662; and providing Community Residential Setting: Foster Care services or supported living services  ","None","","Hennepin County Human Services & Public Health Dept","07/01/2014","09/01/2024","08/31/2026","No ","",
"1067662","Home and Community Based Services","Companion Housing Programs, Inc.","3040 INGLEWOOD AVE S","","","Minneapolis","MN","55416-4124","Hennepin","(952) 285-5950","Active","Companion Housing Program Inc","   ","Basic Support Services: 24-hour emergency assistance; Night supervision; Respite care, in home or out-of-home; Individualized home supports  Intervention Support Services: Crisis respite, in-home or out-of-home  In-Home Support Services: Semi-independent living skills ; Individualized home supports with training; Individualized home supports with family training  Residential Supports and Services: Foster Care services or supported living services; Community residential services; Family residential services  Employment Services: Employment development services; Employment exploration services; Employment support services    ","None","Satellite License Number: 1067676 (Home and Community Based Services - Community Residential Setting), Companion Housing Program Inc; Satellite License Number: 1067668 (Home and Community Based Services - Community Residential Setting), Companion Housing-Ewing; Satellite License Number: 1067670 (Home and Community Based Services - Community Residential Setting), Companion Housing Programs-Mumford; Satellite License Number: 1067675 (Home and Community Based Services - Community Residential Setting), Companion Housing Program Inc; Satellite License Number: 1067666 (Home and Community Based Services - Community Residential Setting), Companion Housing Programs Pillsbury; Satellite License Number: 1067667 (Home and Community Based Services - Community Residential Setting), Companion Housing Program Inc; Satellite License Number: 1067663 (Home and Community Based Services - Community Residential Setting), Companion Housing Program Inc; Satellite License Number: 1067671 (Home and Community Based Services - Community Residential Setting), Companion Housing Program, Inc Colorado; Satellite License Number: 1067664 (Home and Community Based Services - Community Residential Setting), Companion Housing -Russell; Satellite License Number: 1067674 (Home and Community Based Services - Community Residential Setting), Companion Housing Programs, Inc. Sheridan; Satellite License Number: 1067673 (Home and Community Based Services - Community Residential Setting), Companion Housing: Park Road; Satellite License Number: 1067665 (Home and Community Based Services - Community Residential Setting), Companion Housing Program Inc; Satellite License Number: 1067672 (Home and Community Based Services - Community Residential Setting), Companion Housing Programs, Inc. Drew; Satellite License Number: 1067669 (Home and Community Based Services - Community Residential Setting), Companion Housing Programs, Inc. Old Cedar Residence; ","Minnesota Department of Human Services","01/01/2014","01/01/2026","12/31/2026","   ","",
"1067672","Home and Community Based Services - Community Residential Setting","Companion Housing Programs, Inc. Drew","5200 Drew Ave North","","","Brooklyn Center","MN","55429-0000","Hennepin","(763) 537-6539","Active","Companion Housing Program Inc","3  ","This community residential setting license is a satellite operating under 245D-HCBS Program License Number 1067662; and providing Community Residential Setting: Foster Care services or supported living services  ","None","","Hennepin County Human Services & Public Health Dept","07/01/2014","11/01/2025","10/31/2027","No ","",
"1067669","Home and Community Based Services - Community Residential Setting","Companion Housing Programs, Inc. Old Cedar Residence","8234 Old Cedar Ave"," "," ","Bloomington","MN","55425-0000","Hennepin","(952) 854-0071","Active","Companion Housing Program Inc","4  ","This community residential setting license is a satellite operating under 245D-HCBS Program License Number 1067662; and providing Community Residential Setting: Foster Care services or supported living services  ","None","","Hennepin County Human Services & Public Health Dept","07/01/2014","09/01/2024","08/31/2026","No ","",
"1067674","Home and Community Based Services - Community Residential Setting","Companion Housing Programs, Inc. Sheridan","4254 SHERIDAN AVE N","","","Minneapolis","MN","55412-1556","Hennepin","(952) 285-5950","Active","Companion Housing Program Inc","3  ","This community residential setting license is a satellite operating under 245D-HCBS Program License Number 1067662; and providing Community Residential Setting: Foster Care services or supported living services  ","None","","Hennepin County Human Services & Public Health Dept","07/01/2014","06/05/2025","08/31/2026","No ","",
"1067670","Home and Community Based Services - Community Residential Setting","Companion Housing Programs-Mumford","3019 Mumford Ave"," "," ","Brooklyn Center","MN","55429-0000","Hennepin","(763) 561-9634","Active","Companion Housing Program Inc","3  ","This community residential setting license is a satellite operating under 245D-HCBS Program License Number 1067662; and providing Community Residential Setting: Foster Care services or supported living services  ","None","","Hennepin County Human Services & Public Health Dept","07/01/2014","11/01/2025","10/31/2027","No ","",
